,,,D001,D002,D003
GEO.id,GEO.id2,GEO.display-label,Total:,Total:,Total:
Id,Id2,Geography,,Occupied,Vacant
1000000US060014001001059,060014001001059,"Block 1059, Block Group 1, Census Tract 4001, Alameda County, California",24,23,1
1000000US060014001001060,060014001001060,"Block 1060, Block Group 1, Census Tract 4001, Alameda County, California",33,31,2
1000000US060014001001061,060014001001061,"Block 1061, Block Group 1, Census Tract 4001, Alameda County, California",44,41,3
1000000US060014001001062,060014001001062,"Block 1062, Block Group 1, Census Tract 4001, Alameda County, California",23,20,3
1000000US060014001001063,060014001001063,"Block 1063, Block Group 1, Census Tract 4001, Alameda County, California",6,6,0
1000000US060014001001064,060014001001064,"Block 1064, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001065,060014001001065,"Block 1065, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001066,060014001001066,"Block 1066, Block Group 1, Census Tract 4001, Alameda County, California",10,10,0
1000000US060014001001067,060014001001067,"Block 1067, Block Group 1, Census Tract 4001, Alameda County, California",6,6,0
1000000US060014001001068,060014001001068,"Block 1068, Block Group 1, Census Tract 4001, Alameda County, California",4,4,0
1000000US060014001001069,060014001001069,"Block 1069, Block Group 1, Census Tract 4001, Alameda County, California",3,3,0
1000000US060014001001070,060014001001070,"Block 1070, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001071,060014001001071,"Block 1071, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001072,060014001001072,"Block 1072, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001073,060014001001073,"Block 1073, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0
1000000US060014001001074,060014001001074,"Block 1074, Block Group 1, Census Tract 4001, Alameda County, California",33,32,1
1000000US060014001001075,060014001001075,"Block 1075, Block Group 1, Census Tract 4001, Alameda County, California",20,17,3
1000000US060014001001076,060014001001076,"Block 1076, Block Group 1, Census Tract 4001, Alameda County, California",44,41,3
1000000US060014002001000,060014002001000,"Block 1000, Block Group 1, Census Tract 4002, Alameda County, California",15,15,0
1000000US060014002001001,060014002001001,"Block 1001, Block Group 1, Census Tract 4002, Alameda County, California",24,24,0
1000000US060014002001002,060014002001002,"Block 1002, Block Group 1, Census Tract 4002, Alameda County, California",53,49,4
1000000US060014002001003,060014002001003,"Block 1003, Block Group 1, Census Tract 4002, Alameda County, California",10,10,0
1000000US060014002001004,060014002001004,"Block 1004, Block Group 1, Census Tract 4002, Alameda County, California",35,34,1
1000000US060014002001005,060014002001005,"Block 1005, Block Group 1, Census Tract 4002, Alameda County, California",13,12,1
1000000US060014002001006,060014002001006,"Block 1006, Block Group 1, Census Tract 4002, Alameda County, California",16,16,0
1000000US060014002001007,060014002001007,"Block 1007, Block Group 1, Census Tract 4002, Alameda County, California",8,7,1
1000000US060014002001008,060014002001008,"Block 1008, Block Group 1, Census Tract 4002, Alameda County, California",18,16,2
