,,,D001,D002,D003
GEO.id,GEO.id2,GEO.display-label,Total:,Total:,Total:
Id,Id2,Geography,,Occupied,Vacant
1000000US060014045024033,060014045024033,"Block 4033, Block Group 4, Census Tract 4045.02, Alameda County, California",0,0,0
1000000US060014045024034,060014045024034,"Block 4034, Block Group 4, Census Tract 4045.02, Alameda County, California",24,24,0
1000000US060014046001000,060014046001000,"Block 1000, Block Group 1, Census Tract 4046, Alameda County, California",58,57,1
1000000US060014046001001,060014046001001,"Block 1001, Block Group 1, Census Tract 4046, Alameda County, California",18,18,0
1000000US060014046001002,060014046001002,"Block 1002, Block Group 1, Census Tract 4046, Alameda County, California",19,19,0
1000000US060014046001003,060014046001003,"Block 1003, Block Group 1, Census Tract 4046, Alameda County, California",37,37,0
1000000US060014046001004,060014046001004,"Block 1004, Block Group 1, Census Tract 4046, Alameda County, California",18,18,0
1000000US060014046001005,060014046001005,"Block 1005, Block Group 1, Census Tract 4046, Alameda County, California",35,34,1
1000000US060014046001006,060014046001006,"Block 1006, Block Group 1, Census Tract 4046, Alameda County, California",34,33,1
1000000US060014046001007,060014046001007,"Block 1007, Block Group 1, Census Tract 4046, Alameda County, California",65,64,1
1000000US060014046001008,060014046001008,"Block 1008, Block Group 1, Census Tract 4046, Alameda County, California",50,49,1
1000000US060014046001009,060014046001009,"Block 1009, Block Group 1, Census Tract 4046, Alameda County, California",15,15,0
1000000US060014046001010,060014046001010,"Block 1010, Block Group 1, Census Tract 4046, Alameda County, California",38,37,1
1000000US060014046001011,060014046001011,"Block 1011, Block Group 1, Census Tract 4046, Alameda County, California",36,36,0
1000000US060014046001012,060014046001012,"Block 1012, Block Group 1, Census Tract 4046, Alameda County, California",2,2,0
1000000US060014046001013,060014046001013,"Block 1013, Block Group 1, Census Tract 4046, Alameda County, California",11,11,0
1000000US060014046001014,060014046001014,"Block 1014, Block Group 1, Census Tract 4046, Alameda County, California",16,13,3
1000000US060014046001015,060014046001015,"Block 1015, Block Group 1, Census Tract 4046, Alameda County, California",7,7,0
1000000US060014046001016,060014046001016,"Block 1016, Block Group 1, Census Tract 4046, Alameda County, California",5,5,0
1000000US060014046001017,060014046001017,"Block 1017, Block Group 1, Census Tract 4046, Alameda County, California",3,3,0
1000000US060014046002000,060014046002000,"Block 2000, Block Group 2, Census Tract 4046, Alameda County, California",78,72,6
1000000US060014046002001,060014046002001,"Block 2001, Block Group 2, Census Tract 4046, Alameda County, California",55,53,2
1000000US060014046002002,060014046002002,"Block 2002, Block Group 2, Census Tract 4046, Alameda County, California",22,21,1
1000000US060014046002003,060014046002003,"Block 2003, Block Group 2, Census Tract 4046, Alameda County, California",12,12,0
1000000US060014046002004,060014046002004,"Block 2004, Block Group 2, Census Tract 4046, Alameda County, California",40,39,1
1000000US060014046002005,060014046002005,"Block 2005, Block Group 2, Census Tract 4046, Alameda County, California",33,33,0
1000000US060014046002006,060014046002006,"Block 2006, Block Group 2, Census Tract 4046, Alameda County, California",33,32,1
1000000US060014046002007,060014046002007,"Block 2007, Block Group 2, Census Tract 4046, Alameda County, California",33,30,3
1000000US060014046002008,060014046002008,"Block 2008, Block Group 2, Census Tract 4046, Alameda County, California",11,10,1
1000000US060014046003000,060014046003000,"Block 3000, Block Group 3, Census Tract 4046, Alameda County, California",9,9,0
1000000US060014046003001,060014046003001,"Block 3001, Block Group 3, Census Tract 4046, Alameda County, California",31,28,3
1000000US060014046003002,060014046003002,"Block 3002, Block Group 3, Census Tract 4046, Alameda County, California",35,34,1
1000000US060014046003003,060014046003003,"Block 3003, Block Group 3, Census Tract 4046, Alameda County, California",33,30,3
1000000US060014046003004,060014046003004,"Block 3004, Block Group 3, Census Tract 4046, Alameda County, California",24,22,2
1000000US060014046003005,060014046003005,"Block 3005, Block Group 3, Census Tract 4046, Alameda County, California",4,4,0
1000000US060014046003006,060014046003006,"Block 3006, Block Group 3, Census Tract 4046, Alameda County, California",32,31,1
1000000US060014046003007,060014046003007,"Block 3007, Block Group 3, Census Tract 4046, Alameda County, California",41,38,3
1000000US060014046003008,060014046003008,"Block 3008, Block Group 3, Census Tract 4046, Alameda County, California",86,82,4
1000000US060014046003009,060014046003009,"Block 3009, Block Group 3, Census Tract 4046, Alameda County, California",24,24,0
1000000US060014046003010,060014046003010,"Block 3010, Block Group 3, Census Tract 4046, Alameda County, California",34,32,2
1000000US060014046003011,060014046003011,"Block 3011, Block Group 3, Census Tract 4046, Alameda County, California",18,18,0
1000000US060014046003012,060014046003012,"Block 3012, Block Group 3, Census Tract 4046, Alameda County, California",8,8,0
1000000US060014046003013,060014046003013,"Block 3013, Block Group 3, Census Tract 4046, Alameda County, California",4,4,0
1000000US060014046003014,060014046003014,"Block 3014, Block Group 3, Census Tract 4046, Alameda County, California",33,31,2
1000000US060014046003015,060014046003015,"Block 3015, Block Group 3, Census Tract 4046, Alameda County, California",78,77,1
1000000US060014046004000,060014046004000,"Block 4000, Block Group 4, Census Tract 4046, Alameda County, California",57,53,4
1000000US060014046004001,060014046004001,"Block 4001, Block Group 4, Census Tract 4046, Alameda County, California",22,22,0
1000000US060014046004002,060014046004002,"Block 4002, Block Group 4, Census Tract 4046, Alameda County, California",168,159,9
1000000US060014046004003,060014046004003,"Block 4003, Block Group 4, Census Tract 4046, Alameda County, California",10,10,0
1000000US060014046004004,060014046004004,"Block 4004, Block Group 4, Census Tract 4046, Alameda County, California",7,6,1
1000000US060014046004005,060014046004005,"Block 4005, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014046004006,060014046004006,"Block 4006, Block Group 4, Census Tract 4046, Alameda County, California",6,6,0
1000000US060014046004007,060014046004007,"Block 4007, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014046004008,060014046004008,"Block 4008, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014046004009,060014046004009,"Block 4009, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014046004010,060014046004010,"Block 4010, Block Group 4, Census Tract 4046, Alameda County, California",127,123,4
1000000US060014046004011,060014046004011,"Block 4011, Block Group 4, Census Tract 4046, Alameda County, California",109,107,2
1000000US060014046004012,060014046004012,"Block 4012, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014046004013,060014046004013,"Block 4013, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014046004014,060014046004014,"Block 4014, Block Group 4, Census Tract 4046, Alameda County, California",7,7,0
1000000US060014046004015,060014046004015,"Block 4015, Block Group 4, Census Tract 4046, Alameda County, California",11,11,0
1000000US060014046004016,060014046004016,"Block 4016, Block Group 4, Census Tract 4046, Alameda County, California",3,3,0
1000000US060014046004017,060014046004017,"Block 4017, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014046004018,060014046004018,"Block 4018, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014046004019,060014046004019,"Block 4019, Block Group 4, Census Tract 4046, Alameda County, California",22,22,0
1000000US060014046004020,060014046004020,"Block 4020, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014046004021,060014046004021,"Block 4021, Block Group 4, Census Tract 4046, Alameda County, California",14,14,0
1000000US060014046004022,060014046004022,"Block 4022, Block Group 4, Census Tract 4046, Alameda County, California",26,25,1
1000000US060014046004023,060014046004023,"Block 4023, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014046004024,060014046004024,"Block 4024, Block Group 4, Census Tract 4046, Alameda County, California",0,0,0
1000000US060014047001000,060014047001000,"Block 1000, Block Group 1, Census Tract 4047, Alameda County, California",0,0,0
1000000US060014047001001,060014047001001,"Block 1001, Block Group 1, Census Tract 4047, Alameda County, California",1,1,0
1000000US060014047001002,060014047001002,"Block 1002, Block Group 1, Census Tract 4047, Alameda County, California",141,138,3
1000000US060014047001003,060014047001003,"Block 1003, Block Group 1, Census Tract 4047, Alameda County, California",3,3,0
1000000US060014047001004,060014047001004,"Block 1004, Block Group 1, Census Tract 4047, Alameda County, California",78,76,2
1000000US060014047001005,060014047001005,"Block 1005, Block Group 1, Census Tract 4047, Alameda County, California",77,77,0
1000000US060014047001006,060014047001006,"Block 1006, Block Group 1, Census Tract 4047, Alameda County, California",51,50,1
1000000US060014047001007,060014047001007,"Block 1007, Block Group 1, Census Tract 4047, Alameda County, California",25,25,0
1000000US060014047002000,060014047002000,"Block 2000, Block Group 2, Census Tract 4047, Alameda County, California",22,22,0
1000000US060014047002001,060014047002001,"Block 2001, Block Group 2, Census Tract 4047, Alameda County, California",16,16,0
1000000US060014047002002,060014047002002,"Block 2002, Block Group 2, Census Tract 4047, Alameda County, California",21,21,0
1000000US060014047002003,060014047002003,"Block 2003, Block Group 2, Census Tract 4047, Alameda County, California",19,18,1
1000000US060014047002004,060014047002004,"Block 2004, Block Group 2, Census Tract 4047, Alameda County, California",44,44,0
1000000US060014047002005,060014047002005,"Block 2005, Block Group 2, Census Tract 4047, Alameda County, California",26,26,0
1000000US060014047002006,060014047002006,"Block 2006, Block Group 2, Census Tract 4047, Alameda County, California",253,246,7
1000000US060014047002007,060014047002007,"Block 2007, Block Group 2, Census Tract 4047, Alameda County, California",0,0,0
1000000US060014047002008,060014047002008,"Block 2008, Block Group 2, Census Tract 4047, Alameda County, California",0,0,0
1000000US060014047002009,060014047002009,"Block 2009, Block Group 2, Census Tract 4047, Alameda County, California",48,47,1
1000000US060014048001000,060014048001000,"Block 1000, Block Group 1, Census Tract 4048, Alameda County, California",78,78,0
1000000US060014048001001,060014048001001,"Block 1001, Block Group 1, Census Tract 4048, Alameda County, California",85,82,3
1000000US060014048001002,060014048001002,"Block 1002, Block Group 1, Census Tract 4048, Alameda County, California",87,82,5
1000000US060014048001003,060014048001003,"Block 1003, Block Group 1, Census Tract 4048, Alameda County, California",172,163,9
1000000US060014048001004,060014048001004,"Block 1004, Block Group 1, Census Tract 4048, Alameda County, California",77,76,1
1000000US060014048001005,060014048001005,"Block 1005, Block Group 1, Census Tract 4048, Alameda County, California",116,105,11
1000000US060014048001006,060014048001006,"Block 1006, Block Group 1, Census Tract 4048, Alameda County, California",0,0,0
1000000US060014048001007,060014048001007,"Block 1007, Block Group 1, Census Tract 4048, Alameda County, California",0,0,0
1000000US060014048001008,060014048001008,"Block 1008, Block Group 1, Census Tract 4048, Alameda County, California",0,0,0
1000000US060014048002000,060014048002000,"Block 2000, Block Group 2, Census Tract 4048, Alameda County, California",62,61,1
1000000US060014048002001,060014048002001,"Block 2001, Block Group 2, Census Tract 4048, Alameda County, California",8,7,1
1000000US060014048002002,060014048002002,"Block 2002, Block Group 2, Census Tract 4048, Alameda County, California",16,14,2
1000000US060014048002003,060014048002003,"Block 2003, Block Group 2, Census Tract 4048, Alameda County, California",49,46,3
1000000US060014048002004,060014048002004,"Block 2004, Block Group 2, Census Tract 4048, Alameda County, California",49,48,1
1000000US060014048002005,060014048002005,"Block 2005, Block Group 2, Census Tract 4048, Alameda County, California",39,38,1
1000000US060014048002006,060014048002006,"Block 2006, Block Group 2, Census Tract 4048, Alameda County, California",137,127,10
1000000US060014048002007,060014048002007,"Block 2007, Block Group 2, Census Tract 4048, Alameda County, California",113,107,6
1000000US060014048002008,060014048002008,"Block 2008, Block Group 2, Census Tract 4048, Alameda County, California",20,20,0
1000000US060014048002009,060014048002009,"Block 2009, Block Group 2, Census Tract 4048, Alameda County, California",180,162,18
1000000US060014048002010,060014048002010,"Block 2010, Block Group 2, Census Tract 4048, Alameda County, California",0,0,0
1000000US060014048002011,060014048002011,"Block 2011, Block Group 2, Census Tract 4048, Alameda County, California",0,0,0
1000000US060014049001000,060014049001000,"Block 1000, Block Group 1, Census Tract 4049, Alameda County, California",74,68,6
1000000US060014049001001,060014049001001,"Block 1001, Block Group 1, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049001002,060014049001002,"Block 1002, Block Group 1, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049001003,060014049001003,"Block 1003, Block Group 1, Census Tract 4049, Alameda County, California",2,2,0
1000000US060014049001004,060014049001004,"Block 1004, Block Group 1, Census Tract 4049, Alameda County, California",34,33,1
1000000US060014049001005,060014049001005,"Block 1005, Block Group 1, Census Tract 4049, Alameda County, California",62,60,2
1000000US060014049001006,060014049001006,"Block 1006, Block Group 1, Census Tract 4049, Alameda County, California",29,28,1
1000000US060014049001007,060014049001007,"Block 1007, Block Group 1, Census Tract 4049, Alameda County, California",25,25,0
1000000US060014049001008,060014049001008,"Block 1008, Block Group 1, Census Tract 4049, Alameda County, California",2,2,0
1000000US060014049001009,060014049001009,"Block 1009, Block Group 1, Census Tract 4049, Alameda County, California",7,6,1
1000000US060014049001010,060014049001010,"Block 1010, Block Group 1, Census Tract 4049, Alameda County, California",55,54,1
1000000US060014049001011,060014049001011,"Block 1011, Block Group 1, Census Tract 4049, Alameda County, California",31,30,1
1000000US060014049001012,060014049001012,"Block 1012, Block Group 1, Census Tract 4049, Alameda County, California",21,21,0
1000000US060014049001013,060014049001013,"Block 1013, Block Group 1, Census Tract 4049, Alameda County, California",60,58,2
1000000US060014049002000,060014049002000,"Block 2000, Block Group 2, Census Tract 4049, Alameda County, California",69,65,4
1000000US060014049002001,060014049002001,"Block 2001, Block Group 2, Census Tract 4049, Alameda County, California",9,6,3
1000000US060014049002002,060014049002002,"Block 2002, Block Group 2, Census Tract 4049, Alameda County, California",63,63,0
1000000US060014049002003,060014049002003,"Block 2003, Block Group 2, Census Tract 4049, Alameda County, California",48,47,1
1000000US060014049002004,060014049002004,"Block 2004, Block Group 2, Census Tract 4049, Alameda County, California",7,7,0
1000000US060014049002005,060014049002005,"Block 2005, Block Group 2, Census Tract 4049, Alameda County, California",25,25,0
1000000US060014049002006,060014049002006,"Block 2006, Block Group 2, Census Tract 4049, Alameda County, California",44,43,1
1000000US060014049002007,060014049002007,"Block 2007, Block Group 2, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049002008,060014049002008,"Block 2008, Block Group 2, Census Tract 4049, Alameda County, California",174,120,54
1000000US060014049002009,060014049002009,"Block 2009, Block Group 2, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049002010,060014049002010,"Block 2010, Block Group 2, Census Tract 4049, Alameda County, California",23,21,2
1000000US060014049002011,060014049002011,"Block 2011, Block Group 2, Census Tract 4049, Alameda County, California",59,54,5
1000000US060014049002012,060014049002012,"Block 2012, Block Group 2, Census Tract 4049, Alameda County, California",30,26,4
1000000US060014049002013,060014049002013,"Block 2013, Block Group 2, Census Tract 4049, Alameda County, California",21,19,2
1000000US060014049002014,060014049002014,"Block 2014, Block Group 2, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049002015,060014049002015,"Block 2015, Block Group 2, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049002016,060014049002016,"Block 2016, Block Group 2, Census Tract 4049, Alameda County, California",4,4,0
1000000US060014049002017,060014049002017,"Block 2017, Block Group 2, Census Tract 4049, Alameda County, California",8,8,0
1000000US060014049002018,060014049002018,"Block 2018, Block Group 2, Census Tract 4049, Alameda County, California",22,22,0
1000000US060014049002019,060014049002019,"Block 2019, Block Group 2, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049002020,060014049002020,"Block 2020, Block Group 2, Census Tract 4049, Alameda County, California",2,2,0
1000000US060014049003000,060014049003000,"Block 3000, Block Group 3, Census Tract 4049, Alameda County, California",28,26,2
1000000US060014049003001,060014049003001,"Block 3001, Block Group 3, Census Tract 4049, Alameda County, California",28,26,2
1000000US060014049003002,060014049003002,"Block 3002, Block Group 3, Census Tract 4049, Alameda County, California",32,28,4
1000000US060014049003003,060014049003003,"Block 3003, Block Group 3, Census Tract 4049, Alameda County, California",31,30,1
1000000US060014049003004,060014049003004,"Block 3004, Block Group 3, Census Tract 4049, Alameda County, California",32,31,1
1000000US060014049003005,060014049003005,"Block 3005, Block Group 3, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049003006,060014049003006,"Block 3006, Block Group 3, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049003007,060014049003007,"Block 3007, Block Group 3, Census Tract 4049, Alameda County, California",34,34,0
1000000US060014049003008,060014049003008,"Block 3008, Block Group 3, Census Tract 4049, Alameda County, California",36,35,1
1000000US060014049003009,060014049003009,"Block 3009, Block Group 3, Census Tract 4049, Alameda County, California",39,30,9
1000000US060014049003010,060014049003010,"Block 3010, Block Group 3, Census Tract 4049, Alameda County, California",59,56,3
1000000US060014049003011,060014049003011,"Block 3011, Block Group 3, Census Tract 4049, Alameda County, California",67,49,18
1000000US060014049003012,060014049003012,"Block 3012, Block Group 3, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049003013,060014049003013,"Block 3013, Block Group 3, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049003014,060014049003014,"Block 3014, Block Group 3, Census Tract 4049, Alameda County, California",11,11,0
1000000US060014049003015,060014049003015,"Block 3015, Block Group 3, Census Tract 4049, Alameda County, California",16,13,3
1000000US060014049003016,060014049003016,"Block 3016, Block Group 3, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049003017,060014049003017,"Block 3017, Block Group 3, Census Tract 4049, Alameda County, California",4,3,1
1000000US060014049003018,060014049003018,"Block 3018, Block Group 3, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049003019,060014049003019,"Block 3019, Block Group 3, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049003020,060014049003020,"Block 3020, Block Group 3, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049003021,060014049003021,"Block 3021, Block Group 3, Census Tract 4049, Alameda County, California",21,20,1
1000000US060014049003022,060014049003022,"Block 3022, Block Group 3, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049003023,060014049003023,"Block 3023, Block Group 3, Census Tract 4049, Alameda County, California",3,3,0
1000000US060014049003024,060014049003024,"Block 3024, Block Group 3, Census Tract 4049, Alameda County, California",1,1,0
1000000US060014049003025,060014049003025,"Block 3025, Block Group 3, Census Tract 4049, Alameda County, California",27,24,3
1000000US060014049003026,060014049003026,"Block 3026, Block Group 3, Census Tract 4049, Alameda County, California",25,24,1
1000000US060014049004000,060014049004000,"Block 4000, Block Group 4, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049004001,060014049004001,"Block 4001, Block Group 4, Census Tract 4049, Alameda County, California",4,4,0
1000000US060014049004002,060014049004002,"Block 4002, Block Group 4, Census Tract 4049, Alameda County, California",60,58,2
1000000US060014049004003,060014049004003,"Block 4003, Block Group 4, Census Tract 4049, Alameda County, California",60,59,1
1000000US060014049004004,060014049004004,"Block 4004, Block Group 4, Census Tract 4049, Alameda County, California",55,51,4
1000000US060014049004005,060014049004005,"Block 4005, Block Group 4, Census Tract 4049, Alameda County, California",49,48,1
1000000US060014049004006,060014049004006,"Block 4006, Block Group 4, Census Tract 4049, Alameda County, California",60,58,2
1000000US060014049004007,060014049004007,"Block 4007, Block Group 4, Census Tract 4049, Alameda County, California",24,21,3
1000000US060014049004008,060014049004008,"Block 4008, Block Group 4, Census Tract 4049, Alameda County, California",60,55,5
1000000US060014049004009,060014049004009,"Block 4009, Block Group 4, Census Tract 4049, Alameda County, California",54,50,4
1000000US060014049004010,060014049004010,"Block 4010, Block Group 4, Census Tract 4049, Alameda County, California",48,48,0
1000000US060014049004011,060014049004011,"Block 4011, Block Group 4, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049004012,060014049004012,"Block 4012, Block Group 4, Census Tract 4049, Alameda County, California",1,1,0
1000000US060014049004013,060014049004013,"Block 4013, Block Group 4, Census Tract 4049, Alameda County, California",1,1,0
1000000US060014049004014,060014049004014,"Block 4014, Block Group 4, Census Tract 4049, Alameda County, California",9,8,1
1000000US060014049004015,060014049004015,"Block 4015, Block Group 4, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049004016,060014049004016,"Block 4016, Block Group 4, Census Tract 4049, Alameda County, California",0,0,0
1000000US060014049004017,060014049004017,"Block 4017, Block Group 4, Census Tract 4049, Alameda County, California",30,25,5
1000000US060014049004018,060014049004018,"Block 4018, Block Group 4, Census Tract 4049, Alameda County, California",9,8,1
1000000US060014049004019,060014049004019,"Block 4019, Block Group 4, Census Tract 4049, Alameda County, California",28,27,1
1000000US060014050001000,060014050001000,"Block 1000, Block Group 1, Census Tract 4050, Alameda County, California",27,24,3
1000000US060014050001001,060014050001001,"Block 1001, Block Group 1, Census Tract 4050, Alameda County, California",25,24,1
1000000US060014050001002,060014050001002,"Block 1002, Block Group 1, Census Tract 4050, Alameda County, California",31,28,3
1000000US060014050001003,060014050001003,"Block 1003, Block Group 1, Census Tract 4050, Alameda County, California",45,44,1
1000000US060014050001004,060014050001004,"Block 1004, Block Group 1, Census Tract 4050, Alameda County, California",63,60,3
1000000US060014050001005,060014050001005,"Block 1005, Block Group 1, Census Tract 4050, Alameda County, California",15,15,0
1000000US060014050001006,060014050001006,"Block 1006, Block Group 1, Census Tract 4050, Alameda County, California",45,43,2
1000000US060014050001007,060014050001007,"Block 1007, Block Group 1, Census Tract 4050, Alameda County, California",44,44,0
1000000US060014050001008,060014050001008,"Block 1008, Block Group 1, Census Tract 4050, Alameda County, California",56,51,5
1000000US060014050002000,060014050002000,"Block 2000, Block Group 2, Census Tract 4050, Alameda County, California",14,13,1
1000000US060014050002001,060014050002001,"Block 2001, Block Group 2, Census Tract 4050, Alameda County, California",259,246,13
1000000US060014050002002,060014050002002,"Block 2002, Block Group 2, Census Tract 4050, Alameda County, California",27,27,0
1000000US060014050002003,060014050002003,"Block 2003, Block Group 2, Census Tract 4050, Alameda County, California",75,72,3
1000000US060014050002004,060014050002004,"Block 2004, Block Group 2, Census Tract 4050, Alameda County, California",36,34,2
1000000US060014050002005,060014050002005,"Block 2005, Block Group 2, Census Tract 4050, Alameda County, California",35,35,0
1000000US060014050002006,060014050002006,"Block 2006, Block Group 2, Census Tract 4050, Alameda County, California",82,80,2
1000000US060014050002007,060014050002007,"Block 2007, Block Group 2, Census Tract 4050, Alameda County, California",27,24,3
1000000US060014050003000,060014050003000,"Block 3000, Block Group 3, Census Tract 4050, Alameda County, California",121,59,62
1000000US060014050003001,060014050003001,"Block 3001, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003002,060014050003002,"Block 3002, Block Group 3, Census Tract 4050, Alameda County, California",60,53,7
1000000US060014050003003,060014050003003,"Block 3003, Block Group 3, Census Tract 4050, Alameda County, California",37,37,0
1000000US060014050003004,060014050003004,"Block 3004, Block Group 3, Census Tract 4050, Alameda County, California",60,54,6
1000000US060014050003005,060014050003005,"Block 3005, Block Group 3, Census Tract 4050, Alameda County, California",24,23,1
1000000US060014050003006,060014050003006,"Block 3006, Block Group 3, Census Tract 4050, Alameda County, California",75,69,6
1000000US060014050003007,060014050003007,"Block 3007, Block Group 3, Census Tract 4050, Alameda County, California",129,122,7
1000000US060014050003008,060014050003008,"Block 3008, Block Group 3, Census Tract 4050, Alameda County, California",8,6,2
1000000US060014050003009,060014050003009,"Block 3009, Block Group 3, Census Tract 4050, Alameda County, California",18,18,0
1000000US060014050003010,060014050003010,"Block 3010, Block Group 3, Census Tract 4050, Alameda County, California",50,46,4
1000000US060014050003011,060014050003011,"Block 3011, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003012,060014050003012,"Block 3012, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003013,060014050003013,"Block 3013, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003014,060014050003014,"Block 3014, Block Group 3, Census Tract 4050, Alameda County, California",17,17,0
1000000US060014050003015,060014050003015,"Block 3015, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003016,060014050003016,"Block 3016, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003017,060014050003017,"Block 3017, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003018,060014050003018,"Block 3018, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003019,060014050003019,"Block 3019, Block Group 3, Census Tract 4050, Alameda County, California",27,24,3
1000000US060014050003020,060014050003020,"Block 3020, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003021,060014050003021,"Block 3021, Block Group 3, Census Tract 4050, Alameda County, California",9,9,0
1000000US060014050003022,060014050003022,"Block 3022, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003023,060014050003023,"Block 3023, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003024,060014050003024,"Block 3024, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003025,060014050003025,"Block 3025, Block Group 3, Census Tract 4050, Alameda County, California",16,14,2
1000000US060014050003026,060014050003026,"Block 3026, Block Group 3, Census Tract 4050, Alameda County, California",31,26,5
1000000US060014050003027,060014050003027,"Block 3027, Block Group 3, Census Tract 4050, Alameda County, California",18,17,1
1000000US060014050003028,060014050003028,"Block 3028, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014050003029,060014050003029,"Block 3029, Block Group 3, Census Tract 4050, Alameda County, California",0,0,0
1000000US060014051001000,060014051001000,"Block 1000, Block Group 1, Census Tract 4051, Alameda County, California",1,1,0
1000000US060014051001001,060014051001001,"Block 1001, Block Group 1, Census Tract 4051, Alameda County, California",170,164,6
1000000US060014051001002,060014051001002,"Block 1002, Block Group 1, Census Tract 4051, Alameda County, California",57,56,1
1000000US060014051001003,060014051001003,"Block 1003, Block Group 1, Census Tract 4051, Alameda County, California",0,0,0
1000000US060014051001004,060014051001004,"Block 1004, Block Group 1, Census Tract 4051, Alameda County, California",56,55,1
1000000US060014051001005,060014051001005,"Block 1005, Block Group 1, Census Tract 4051, Alameda County, California",51,47,4
1000000US060014051001006,060014051001006,"Block 1006, Block Group 1, Census Tract 4051, Alameda County, California",3,3,0
1000000US060014051001007,060014051001007,"Block 1007, Block Group 1, Census Tract 4051, Alameda County, California",27,26,1
1000000US060014051001008,060014051001008,"Block 1008, Block Group 1, Census Tract 4051, Alameda County, California",20,20,0
1000000US060014051002000,060014051002000,"Block 2000, Block Group 2, Census Tract 4051, Alameda County, California",45,45,0
1000000US060014051002001,060014051002001,"Block 2001, Block Group 2, Census Tract 4051, Alameda County, California",43,42,1
1000000US060014051002002,060014051002002,"Block 2002, Block Group 2, Census Tract 4051, Alameda County, California",0,0,0
1000000US060014051002003,060014051002003,"Block 2003, Block Group 2, Census Tract 4051, Alameda County, California",32,32,0
1000000US060014051002004,060014051002004,"Block 2004, Block Group 2, Census Tract 4051, Alameda County, California",47,47,0
1000000US060014051002005,060014051002005,"Block 2005, Block Group 2, Census Tract 4051, Alameda County, California",32,31,1
1000000US060014051002006,060014051002006,"Block 2006, Block Group 2, Census Tract 4051, Alameda County, California",70,68,2
1000000US060014051003000,060014051003000,"Block 3000, Block Group 3, Census Tract 4051, Alameda County, California",83,82,1
1000000US060014051003001,060014051003001,"Block 3001, Block Group 3, Census Tract 4051, Alameda County, California",30,30,0
1000000US060014051003002,060014051003002,"Block 3002, Block Group 3, Census Tract 4051, Alameda County, California",0,0,0
1000000US060014051003003,060014051003003,"Block 3003, Block Group 3, Census Tract 4051, Alameda County, California",0,0,0
1000000US060014051003004,060014051003004,"Block 3004, Block Group 3, Census Tract 4051, Alameda County, California",0,0,0
1000000US060014051003005,060014051003005,"Block 3005, Block Group 3, Census Tract 4051, Alameda County, California",91,85,6
1000000US060014051003006,060014051003006,"Block 3006, Block Group 3, Census Tract 4051, Alameda County, California",37,34,3
1000000US060014051003007,060014051003007,"Block 3007, Block Group 3, Census Tract 4051, Alameda County, California",33,33,0
